,date,top_artists,top_1,top_2,top_3
78,2023-03-20,"['Bruce Willis', 'Keanu Reeves', 'Taylor Swift']",Bruce Willis,Keanu Reeves,Taylor Swift
79,2023-03-21,"['Bruce Willis', 'XXXTentacion', 'Niall Horan']",Bruce Willis,XXXTentacion,Niall Horan
80,2023-03-22,"['Bruce Willis', 'Gwyneth Paltrow', 'XXXTentacion']",Bruce Willis,Gwyneth Paltrow,XXXTentacion
81,2023-03-23,"['Keanu Reeves', 'Gwyneth Paltrow', 'XXXTentacion']",Keanu Reeves,Gwyneth Paltrow,XXXTentacion
82,2023-03-24,"['Gwyneth Paltrow', 'Keanu Reeves', 'XXXTentacion']",Gwyneth Paltrow,Keanu Reeves,XXXTentacion
83,2023-03-25,"['Gwyneth Paltrow', 'Keanu Reeves', 'Andrew Lloyd Webber']",Gwyneth Paltrow,Keanu Reeves,Andrew Lloyd Webber
84,2023-03-26,"['Keanu Reeves', 'Andrew Lloyd Webber', 'Daniel Radcliffe']",Keanu Reeves,Andrew Lloyd Webber,Daniel Radcliffe
85,2023-03-27,"['Adam Sandler', 'Keanu Reeves', 'Gwyneth Paltrow']",Adam Sandler,Keanu Reeves,Gwyneth Paltrow
86,2023-03-28,"['Keanu Reeves', 'Gwyneth Paltrow', 'Adam Sandler']",Keanu Reeves,Gwyneth Paltrow,Adam Sandler
87,2023-03-29,"['Keanu Reeves', 'Gwyneth Paltrow', 'XXXTentacion']",Keanu Reeves,Gwyneth Paltrow,XXXTentacion
88,2023-03-30,"['Keanu Reeves', 'Gwyneth Paltrow', 'XXXTentacion']",Keanu Reeves,Gwyneth Paltrow,XXXTentacion
89,2023-03-31,"['Gwyneth Paltrow', 'Keanu Reeves', 'XXXTentacion']",Gwyneth Paltrow,Keanu Reeves,XXXTentacion
90,2023-04-01,"['Keanu Reeves', 'Joni Mitchell', 'Gwyneth Paltrow']",Keanu Reeves,Joni Mitchell,Gwyneth Paltrow
91,2023-04-02,"['Keanu Reeves', 'Adam Sandler', 'John Cena']",Keanu Reeves,Adam Sandler,John Cena
92,2023-04-03,"['Lainey Wilson', 'Shania Twain', 'Keanu Reeves']",Lainey Wilson,Shania Twain,Keanu Reeves
93,2023-04-04,"['Keanu Reeves', 'Meghan Trainor', 'Robert Downey Jr.']",Keanu Reeves,Meghan Trainor,Robert Downey Jr.
94,2023-04-05,"['Luis Enrique', 'Lewis Capaldi', 'Keanu Reeves']",Luis Enrique,Lewis Capaldi,Keanu Reeves
95,2023-04-06,"['Lewis Capaldi', 'Keanu Reeves', 'Ryan Gosling']",Lewis Capaldi,Keanu Reeves,Ryan Gosling
96,2023-04-07,"['S Club 7', 'Coolio', 'Lewis Capaldi']",S Club 7,Coolio,Lewis Capaldi
97,2023-04-08,"['S Club 7', 'Keanu Reeves', 'Lewis Capaldi']",S Club 7,Keanu Reeves,Lewis Capaldi
98,2023-04-09,"['Joe Alwyn', 'Taylor Swift', 'Tina Turner']",Joe Alwyn,Taylor Swift,Tina Turner
99,2023-04-10,"['The Beach Boys', 'Joe Alwyn', 'Brian Wilson']",The Beach Boys,Joe Alwyn,Brian Wilson
100,2023-04-11,"['Jon Bon Jovi', 'Taylor Swift', 'Joe Alwyn']",Jon Bon Jovi,Taylor Swift,Joe Alwyn
101,2023-04-12,"['Jon Bon Jovi', 'Steven Yeun', 'Taylor Swift']",Jon Bon Jovi,Steven Yeun,Taylor Swift
102,2023-04-13,"['Steven Yeun', 'Jamie Foxx', 'Taylor Swift']",Steven Yeun,Jamie Foxx,Taylor Swift
103,2023-04-14,"['Jamie Foxx', 'Steven Yeun', 'Taylor Swift']",Jamie Foxx,Steven Yeun,Taylor Swift
104,2023-04-15,"['Jamie Foxx', 'Steven Yeun', 'Keanu Reeves']",Jamie Foxx,Steven Yeun,Keanu Reeves
105,2023-04-16,"['Keanu Reeves', 'Steven Yeun', 'Jamie Foxx']",Keanu Reeves,Steven Yeun,Jamie Foxx
106,2023-04-17,"['Keanu Reeves', 'Frank Ocean', 'Steven Yeun']",Keanu Reeves,Frank Ocean,Steven Yeun
107,2023-04-18,"['Keanu Reeves', 'Miley Cyrus', 'Frank Ocean']",Keanu Reeves,Miley Cyrus,Frank Ocean
108,2023-04-19,"['Keanu Reeves', 'Taylor Swift', 'Steven Yeun']",Keanu Reeves,Taylor Swift,Steven Yeun
109,2023-04-20,"['Frank Ocean', 'Taylor Swift', 'Keanu Reeves']",Frank Ocean,Taylor Swift,Keanu Reeves
110,2023-04-21,"['Avicii', 'Scarlett Johansson', 'Taylor Swift']",Avicii,Scarlett Johansson,Taylor Swift
111,2023-04-22,"['Whitney Houston', 'XXXTentacion', 'Scarlett Johansson']",Whitney Houston,XXXTentacion,Scarlett Johansson
112,2023-04-23,"['Whitney Houston', 'Lionel Richie', 'XXXTentacion']",Whitney Houston,Lionel Richie,XXXTentacion
113,2023-04-24,"['Whitney Houston', 'Lionel Richie', 'XXXTentacion']",Whitney Houston,Lionel Richie,XXXTentacion
114,2023-04-25,"['Whitney Houston', 'Lionel Richie', 'XXXTentacion']",Whitney Houston,Lionel Richie,XXXTentacion
115,2023-04-26,"['Whitney Houston', 'Lionel Richie', 'Daniel Radcliffe']",Whitney Houston,Lionel Richie,Daniel Radcliffe
116,2023-04-27,"['Whitney Houston', 'Cher', 'Priyanka Chopra']",Whitney Houston,Cher,Priyanka Chopra
117,2023-04-28,"['Whitney Houston', 'Priyanka Chopra', 'XXXTentacion']",Whitney Houston,Priyanka Chopra,XXXTentacion
118,2023-04-29,"['Whitney Houston', 'Priyanka Chopra', 'Keanu Reeves']",Whitney Houston,Priyanka Chopra,Keanu Reeves
119,2023-04-30,"['Whitney Houston', 'Mark Selby', 'Priyanka Chopra']",Whitney Houston,Mark Selby,Priyanka Chopra
120,2023-05-01,"['Mark Selby', 'Priyanka Chopra', 'Whitney Houston']",Mark Selby,Priyanka Chopra,Whitney Houston
121,2023-05-02,"['Jared Leto', 'Doja Cat', 'Priyanka Chopra']",Jared Leto,Doja Cat,Priyanka Chopra
122,2023-05-03,"['Jamie Foxx', 'XXXTentacion', 'Priyanka Chopra']",Jamie Foxx,XXXTentacion,Priyanka Chopra
123,2023-05-04,"['Carrie Fisher', 'Jamie Foxx', 'Ed Sheeran']",Carrie Fisher,Jamie Foxx,Ed Sheeran
124,2023-05-05,"['Carrie Fisher', 'Zendaya', 'Ed Sheeran']",Carrie Fisher,Zendaya,Ed Sheeran
125,2023-05-06,"['Taylor Swift', 'XXXTentacion', 'Lionel Richie']",Taylor Swift,XXXTentacion,Lionel Richie
126,2023-05-07,"['Katy Perry', 'Lionel Richie', 'Bad Bunny']",Katy Perry,Lionel Richie,Bad Bunny
127,2023-05-08,"['Alanis Morissette', 'Katy Perry', 'Ed Sheeran']",Alanis Morissette,Katy Perry,Ed Sheeran
128,2023-05-09,"['Hannah Waddingham', 'Taylor Swift', 'XXXTentacion']",Hannah Waddingham,Taylor Swift,XXXTentacion
129,2023-05-10,"['Hannah Waddingham', 'XXXTentacion', 'Taylor Swift']",Hannah Waddingham,XXXTentacion,Taylor Swift
